timestamp,datetime,total_spots,occupied_spots,free_spots,occupancy_rate
1744490134,2025-04-12 23:35:34,11,10,1,0.91
1744491384,2025-04-12 23:56:24,11,11,0,1.00
1744491988,2025-04-13 00:06:28,11,11,0,1.00
1744492587,2025-04-13 00:16:27,11,11,0,1.00
1744493187,2025-04-13 00:26:27,11,11,0,1.00
1744493787,2025-04-13 00:36:27,11,11,0,1.00
1744494386,2025-04-13 00:46:26,11,11,0,1.00
1744494998,2025-04-13 00:56:38,11,11,0,1.00
1744495598,2025-04-13 01:06:38,11,11,0,1.00
1744496893,2025-04-13 01:28:13,11,11,0,1.00
1744497493,2025-04-13 01:38:13,11,11,0,1.00
1744498092,2025-04-13 01:48:12,11,11,0,1.00
1744498977,2025-04-13 02:02:57,11,11,0,1.00
1744499699,2025-04-13 02:14:59,11,11,0,1.00
1744500305,2025-04-13 02:25:05,11,11,0,1.00
1744500941,2025-04-13 02:35:41,11,11,0,1.00
1744501564,2025-04-13 02:46:04,11,10,1,0.91
1744502165,2025-04-13 02:56:05,11,11,0,1.00
1744502765,2025-04-13 03:06:05,11,11,0,1.00
1744503546,2025-04-13 03:19:06,11,11,0,1.00
1744504145,2025-04-13 03:29:05,11,11,0,1.00
1744504745,2025-04-13 03:39:05,11,11,0,1.00
1744505363,2025-04-13 03:49:23,11,11,0,1.00
1744506092,2025-04-13 04:01:32,11,11,0,1.00
1744506791,2025-04-13 04:13:11,11,11,0,1.00
1744508131,2025-04-13 04:35:31,11,11,0,1.00
1744508135,2025-04-13 04:35:35,11,11,0,1.00
1744508751,2025-04-13 04:45:51,11,11,0,1.00
1744509356,2025-04-13 04:55:56,11,11,0,1.00
1744510574,2025-04-13 05:16:14,11,10,1,0.91
1744511783,2025-04-13 05:36:23,11,11,0,1.00
1744513028,2025-04-13 05:57:08,11,11,0,1.00
1744513650,2025-04-13 06:07:30,11,11,0,1.00
1744514890,2025-04-13 06:28:10,11,11,0,1.00
1744515491,2025-04-13 06:38:11,11,11,0,1.00
1744516745,2025-04-13 06:59:05,11,11,0,1.00
